Comment,Emotion,processed_comment,labeled_taget
i seriously hate one subject to death but now i feel reluctant to drop it,fear,seriously hate subject death feel reluctant drop,1
im so full of life i feel appalled,anger,m life feel appalled,0
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear,sit write start dig feeling think afraid accept possibility,1
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy,ve angry r feel like idiot trust place,2
i feel suspicious if there is no one outside like the rapture has happened or something,fear,feel suspicious outside like rapture happen,1
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger,feel jealous becasue want kind love true connection soul want,0
when a friend of mine keeps telling me morbid things that happened to his dog,anger,friend keep tell morbid thing happen dog,0
i finally fell asleep feeling angry useless and still full of anxiety,anger,finally fall asleep feel angry useless anxiety,0
i feel a bit annoyed and antsy in a good way,anger,feel bit annoyed antsy good way,0
i feel like i ve regained another vital part of my life which is living,joy,feel like ve regain vital life live,2
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy,feel bit like franz liebkind producer people know fuhrer terrific dancer,2
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,feel start not want glad experience glimpse sort vibrant energy gain year,2
i was bitten by a dog,fear,bite dog,1
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,find feel thankful year ve gather trick allow feel grateful face moment thing want thank,2
i just try not to talk to anyone when i feel irritable like that,anger,try talk feel irritable like,0
i feel like they hated me since then,anger,feel like hate,0
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger,not know write following little note feel today u r offend follow post obviously live long compromise act believe,0
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger,feel offended choose tell guy feel treat guy friend want stop nonsense,0
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy,remember feel didn t belong wasn t smart cool young,2
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear,feel like redeem think realize distraught ok,1
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,hope quote able let special know m feel insecure understand matter trust,1
i feel much better and without the help of ice,joy,feel well help ice,2
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,sit type wonder belong feel distracted feel comfortable feeling misunderstood hurt,0
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,feel little shaky time slightly odd jade hair particular prone generally work spencer write,1
i stropped about for a bit feeling grumpy because i was missing out,anger,strop bit feeling grumpy miss,0
i have a feeling i shall go mad,anger,feeling shall mad,0
i am happpy when i get good results in the field of academics or athletics,joy,happpy good result field academic athletic,2
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,get feeling brig sincere strong desire help successful financially build strengthen relationship christianity,2
im feeling deeply overwhelmed by these ordinary tasks,fear,m feel deeply overwhelmed ordinary task,1
i feel so grouchy and irritable when im sick,anger,feel grouchy irritable m sick,0
i feel my heart shaky all the time now,fear,feel heart shaky time,1
i expect and i feel content with that,joy,expect feel content,2
i feel amused at the absurdity of it all,joy,feel amuse absurdity,2
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,end get unwanted attention boy want little ill sort start boy find flirtie presence ill feel insincere boy like,0
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,not help feel little bit bitter great big happy grin,0
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,point easy sell get folk feel virtuous not want,2
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,m feel bit sociable not think ill able express want,2
i would feel joyful,joy,feel joyful,2
at a certain situation i felt myself neglected and undeservedly harmed,anger,certain situation feel neglect undeservedly harm,0
i felt good and feel fine today too,joy,feel good feel fine today,2
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,look happen generation look hadn t happen instead feel outraged history aggression feel privilege,0
im feeling slightly optimistic,joy,m feel slightly optimistic,2
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,feel hateful hollow yes hear smith day,0
im still feeling indecisive im polling yall p,fear,m feel indecisive m poll you p,1
